TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF2_Pressure,PF2_Gas_Flow,PF1_Pressure,PF1_Gas_Flow
20250115T04:37:42.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:43.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:44.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:45.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:46.015,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:47.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:48.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:49.021,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:50.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:51.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:52.011,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:53.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:54.004,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:55.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:56.003,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:57.013,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:58.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:37:59.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:00.018,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:01.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:02.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:03.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:04.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:05.009,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:06.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:07.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:08.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:09.023,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:10.001,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:11.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:12.020,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:13.006,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:14.010,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:15.012,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:16.017,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:17.016,0,0,0,45,0.006,1,0.002,0,0.002,0
20250115T04:38:18.024,0,0,0,45,0.006,1,0.002,0,0.002,0
