TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Champer_Temp,Chamber_Pressure,Main_Gas_Flow ,PF1_Gas_Flow ,PF2_Gas_Flow ,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241203T7:30:40.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:45.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:30:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:00.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:31:05.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:10.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:31:15.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.006,1,0,0,62.26,62.7,0,0
20241203T7:31:20.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:25.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:30.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:31:35.000,calc:Coldspray_data_,-759.91,-2189.57,1380.91,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:40.000,calc:Coldspray_data_,-759.91,-2189.54,1381.21,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:31:45.000,calc:Coldspray_data_,-759.91,-2189.58,1380.86,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:31:50.000,calc:Coldspray_data_,-759.91,-2189.57,1380.52,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:31:55.000,calc:Coldspray_data_,-759.91,-2189.57,1380.19,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:32:00.000,calc:Coldspray_data_,-759.91,-2189.57,1379.89,25,0.009,1,0,0,62.26,62.7,0.002,0
20241203T7:32:05.000,calc:Coldspray_data_,-759.91,-2189.57,1379.57,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:32:10.000,calc:Coldspray_data_,-759.91,-2189.57,1379.26,25,0.009,1,0,0,62.26,62.7,0,0.002
20241203T7:32:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.95,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.63,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.33,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0,0
20241203T7:32:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.109,1,6.8,0,62.26,62.7,0.027,0
20241203T7:32:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.266,101,202.7,0,62.26,62.7,0.52,0
20241203T7:32:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.612,257,218.9,0,62.26,62.7,0.792,0
20241203T7:33:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.834,417,243.8,0,62.26,62.7,1.067,0
20241203T7:33:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.937,563,242.2,0,62.26,62.7,1.215,0
20241203T7:33:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.986,618,267.1,0,62.26,62.7,1.327,0
20241203T7:33:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.016,630,264.1,0,62.26,62.7,1.375,0
20241203T7:33:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.986,614,279.9,0,62.26,62.7,1.417,0.002
20241203T7:33:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.026,607,284.1,0,62.26,62.7,1.455,0.002
20241203T7:33:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.004,589,288.7,0,62.26,62.7,1.475,0.002
20241203T7:33:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,587,299.4,0,62.26,62.7,1.497,0.002
20241203T7:33:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,566,298,0,62.26,62.7,1.5,0.002
20241203T7:33:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,561,301.9,0,62.26,62.7,1.507,0.002
20241203T7:33:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,556,302.6,0,62.26,62.7,1.51,0.002
20241203T7:33:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,552,299.9,0,62.26,62.7,1.512,0.002
20241203T7:34:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,556,303.8,0,62.26,62.7,1.512,0.002
20241203T7:34:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,552,293.8,0,62.26,62.7,1.5,0.002
20241203T7:34:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.011,552,305.2,0,62.26,62.7,1.522,0.002
20241203T7:34:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.986,544,290.2,0,62.26,62.7,1.492,0.002
20241203T7:34:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,539,311,0,62.26,62.7,1.515,0.002
20241203T7:34:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,544,303.8,0,62.26,62.7,1.51,0.002
20241203T7:34:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,547,302.2,0,62.26,62.7,1.517,0.002
20241203T7:34:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.994,544,302.4,0,62.26,62.7,1.512,0.002
20241203T7:34:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.991,532,292.3,0,62.26,62.7,1.495,0.002
20241203T7:34:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.994,530,307.6,0,62.26,62.7,1.51,0.002
20241203T7:34:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.991,532,296.6,0,62.26,62.7,1.497,0.002
20241203T7:34:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,534,309.2,0,62.26,62.7,1.515,0.002
20241203T7:35:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.994,535,291.4,0,62.26,62.7,1.495,0.002
20241203T7:35:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,544,306.6,0,62.26,62.7,1.512,0.002
20241203T7:35:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,539,298,0,62.26,62.7,1.502,0.002
20241203T7:35:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,539,297.8,0,62.26,62.7,1.5,0.002
20241203T7:35:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,539,301.8,0,62.26,62.7,1.51,0.002
20241203T7:35:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.994,539,304.8,0,62.26,62.7,1.512,0.002
20241203T7:35:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,539,295.9,0,62.26,62.7,1.505,0.002
20241203T7:35:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.004,539,307.4,0,62.26,62.7,1.512,0.002
20241203T7:35:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,544,293.8,0,62.26,62.7,1.502,0.002
20241203T7:35:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,544,303,0,62.26,62.7,1.51,0.002
20241203T7:35:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,544,301.1,0,62.26,62.7,1.515,0.002
20241203T7:35:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,546,298,0,62.26,62.7,1.512,0.002
20241203T7:36:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,546,297,0,62.26,62.7,1.51,0.002
20241203T7:36:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,539,297.1,0,62.26,62.7,1.51,0.002
20241203T7:36:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,540,298.2,0,62.26,62.7,1.51,0.002
20241203T7:36:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,544,297.4,0,62.26,62.7,1.515,0.002
20241203T7:36:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.011,544,298,0,62.26,62.7,1.515,0.002
20241203T7:36:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.984,544,308.6,0,62.26,62.7,1.517,0.002
20241203T7:36:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,540,297.1,0,62.26,62.7,1.515,0.002
20241203T7:36:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.006,537,296.2,0,62.26,62.7,1.51,0.002
20241203T7:36:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,544,306.4,0,62.26,62.7,1.52,0
20241203T7:36:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,1.009,535,292.1,0,62.26,62.7,1.507,0
20241203T7:36:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,539,309.4,0,62.26,62.7,1.522,0
20241203T7:36:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.994,528,295.9,0,62.26,62.7,1.5,0
20241203T7:37:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,527,306,0,62.26,62.7,1.52,0
20241203T7:37:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,518,293.8,0,62.26,62.7,1.502,0
20241203T7:37:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.999,528,309.8,0,62.26,62.7,1.517,0
20241203T7:37:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.996,528,292.3,0,62.26,62.7,1.5,0
20241203T7:37:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.999,528,313.2,0,62.26,62.7,1.52,0.002
20241203T7:37:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.999,527,291.4,0,62.26,62.7,1.502,0.002
20241203T7:37:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.999,532,310.8,0,62.26,62.7,1.52,0.002
20241203T7:37:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.999,522,296.6,0,62.26,62.7,1.502,0.002
20241203T7:45:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:45:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:45:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:45:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:46:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:05.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:15.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:25.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:35.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:45.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:47:55.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:48:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:40.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:49:50.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:50:00.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:50:10.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:50:20.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
20241203T7:50:30.000,calc:Coldspray_data_,-759.91,-2189.57,1378.02,25,0.009,1,0,0,62.26,62.7,0.002,0.002
