TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250306T01:08:24.044,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:25.006,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:26.011,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:27.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:28.026,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:29.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:30.026,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:31.029,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:32.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:33.057,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:34.050,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:35.040,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:36.029,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:37.022,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:38.012,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:39.036,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:40.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:41.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:42.026,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:43.046,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:44.040,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:45.049,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:46.040,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:47.038,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:48.173,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:49.049,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:50.050,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:51.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:52.031,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
