TimeStamp,Tag Name,ABB_X,ABB_Y,ABB_Z,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow,PF1_Gas_Flow,PF2_Gas_Flow,PF1_LibraWeight,PF2_LibraWeight,PF1_Pressure,PF2_Pressure
20241204T3:01:24.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:25.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:26.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:27.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:28.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:29.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:30.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:31.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:32.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:33.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:34.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:35.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:36.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:37.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:38.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:39.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:40.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:41.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
20241204T3:01:42.000,calc:Coldspray_data_,0,0,0,25,0.006,1,0,0,62.26,62.7,0.002,0.002
